fic,date,portret,portretx,n,country,currency
SGP,1987-04-21,0.0242790779,0.0242790779,18,SINGAPORE,SGD
SGP,1987-04-22,0.0041778016,0.0041778016,18,SINGAPORE,SGD
SGP,1987-04-23,0.0021977721,0.0021977721,18,SINGAPORE,SGD
SGP,1987-04-24,-0.00527045,-0.00527045,18,SINGAPORE,SGD
SGP,1987-04-27,-0.001709214,-0.001709214,18,SINGAPORE,SGD
SGP,1987-04-28,-0.003817114,-0.003817114,18,SINGAPORE,SGD
SGP,1987-04-29,-0.01091063,-0.01091063,18,SINGAPORE,SGD
SGP,1987-05-04,0.0046219495,0.0046219495,18,SINGAPORE,SGD
SGP,1987-05-05,0.0001787717,0.0001787717,18,SINGAPORE,SGD
SGP,1987-05-07,0.0073243389,0.0073243389,18,SINGAPORE,SGD
SGP,1987-05-08,0.0046282501,0.0046282501,18,SINGAPORE,SGD
SGP,1987-05-11,0.017808612,0.0161104661,18,SINGAPORE,SGD
SGP,1987-05-13,0.0166302554,0.0166302554,18,SINGAPORE,SGD
SGP,1987-05-14,0.0172593841,0.0165879698,18,SINGAPORE,SGD
SGP,1987-05-15,0.0028407451,0.0028407451,18,SINGAPORE,SGD
SGP,1987-05-18,-0.001297627,-0.002073758,18,SINGAPORE,SGD
SGP,1987-05-19,0.0009726825,0.0009726825,18,SINGAPORE,SGD
SGP,1987-05-20,0.0082140999,0.0082140999,18,SINGAPORE,SGD
SGP,1987-05-21,0.0017044999,0.0017044999,18,SINGAPORE,SGD
SGP,1987-05-22,-0.010304064,-0.011285277,18,SINGAPORE,SGD
SGP,1987-05-25,0.0026148022,0.0026148022,18,SINGAPORE,SGD
SGP,1987-05-26,0.0060363391,0.0060363391,18,SINGAPORE,SGD
SGP,1987-05-27,0.005378687,0.005378687,18,SINGAPORE,SGD
SGP,1987-05-28,0.0059130006,0.0059130006,18,SINGAPORE,SGD
SGP,1987-06-01,0.0176733981,0.0176733981,18,SINGAPORE,SGD
SGP,1987-06-02,0.0001965347,0.0001965347,18,SINGAPORE,SGD
SGP,1987-06-05,-0.000168042,-0.000168042,18,SINGAPORE,SGD
SGP,1987-06-08,0.0022446739,0.0022446739,18,SINGAPORE,SGD
SGP,1987-06-09,-0.015860162,-0.015860162,18,SINGAPORE,SGD
SGP,1987-06-10,0.004047955,0.0028219373,18,SINGAPORE,SGD
SGP,1987-06-11,-0.000712301,-0.000712301,18,SINGAPORE,SGD
SGP,1987-06-12,-0.002023886,-0.002023886,18,SINGAPORE,SGD
SGP,1987-06-15,0.0018836288,0.0018836288,18,SINGAPORE,SGD
SGP,1987-06-16,-0.002144347,-0.002144347,18,SINGAPORE,SGD
SGP,1987-06-17,0.0029927493,0.0029927493,18,SINGAPORE,SGD
SGP,1987-06-18,0.0034053779,0.0034053779,18,SINGAPORE,SGD
SGP,1987-06-19,-0.001448798,-0.001448798,18,SINGAPORE,SGD
SGP,1987-06-22,0.0047518943,0.0047518943,18,SINGAPORE,SGD
SGP,1987-06-23,0.0074121509,0.0074121509,18,SINGAPORE,SGD
SGP,1987-06-24,0.0027224438,0.0027224438,18,SINGAPORE,SGD
SGP,1987-06-25,0.0089353606,0.0089353606,18,SINGAPORE,SGD
SGP,1987-06-29,0.0088197455,0.0088197455,18,SINGAPORE,SGD
SGP,1987-06-30,-0.009060602,-0.009060602,18,SINGAPORE,SGD
SGP,1987-07-01,0.000813338,0.000813338,15,SINGAPORE,SGD
SGP,1987-07-02,0.0133267281,0.0133267281,15,SINGAPORE,SGD
SGP,1987-07-03,0.0093096816,0.0093096816,15,SINGAPORE,SGD
SGP,1987-07-06,0.0267369205,0.0267369205,15,SINGAPORE,SGD
SGP,1987-07-07,0.0124667904,0.0124667904,15,SINGAPORE,SGD
SGP,1987-07-09,0.008525389,0.008525389,15,SINGAPORE,SGD
SGP,1987-07-10,0.0108191885,0.0108191885,15,SINGAPORE,SGD
SGP,1987-07-13,0.0063355135,0.0063355135,15,SINGAPORE,SGD
SGP,1987-07-14,-0.010787152,-0.010787152,15,SINGAPORE,SGD
SGP,1987-07-15,0.0194579195,0.0194579195,15,SINGAPORE,SGD
SGP,1987-07-16,0.0096572787,0.0089642173,15,SINGAPORE,SGD
SGP,1987-07-17,0.0048116662,0.0048116662,15,SINGAPORE,SGD
SGP,1987-07-20,0.0070114274,0.0070114274,15,SINGAPORE,SGD
SGP,1987-07-21,0.0042304952,0.0042304952,15,SINGAPORE,SGD
SGP,1987-07-22,-0.001833948,-0.001833948,15,SINGAPORE,SGD
SGP,1987-07-23,-0.006357728,-0.006357728,15,SINGAPORE,SGD
SGP,1987-07-24,-0.013558684,-0.013558684,15,SINGAPORE,SGD
SGP,1987-07-27,-0.02259293,-0.02259293,15,SINGAPORE,SGD
SGP,1987-07-28,0.0226771641,0.0226771641,15,SINGAPORE,SGD
SGP,1987-07-29,0.0125967928,0.0125967928,15,SINGAPORE,SGD
SGP,1987-07-31,-0.006141371,-0.006141371,15,SINGAPORE,SGD
SGP,1987-08-03,-0.002848748,-0.002848748,15,SINGAPORE,SGD
SGP,1987-08-04,0.0099277225,0.0099277225,15,SINGAPORE,SGD
SGP,1987-08-06,0.0230692027,0.0230692027,15,SINGAPORE,SGD
SGP,1987-08-07,0.0115601649,0.0115601649,15,SINGAPORE,SGD
SGP,1987-08-11,0.0103834099,0.0103834099,15,SINGAPORE,SGD
