gamma,regime_source,strategy,max_weight,effective_n_assets,theta_used,robust_penalty_component,predicted_state_prob,regime_weight_max
0.08,altdataonly_gmm,RS-CVaR,0.565572685131354,2.3405263726117562,0.0,0.0,0.7799087335615421,0.29287092877687493
0.08,altdataonly_gmm,RSDR-CVaR,0.10000000000000085,9.999999999999998,0.059148773269494505,0.118297546538989,0.7799087335615421,0.29287092877687493
0.08,altdataonly_gmm,SAA-CVaR,0.5354374986624643,2.382717542884297,0.0,0.0,0.7799087335615421,0.29287092877687493
0.08,altdataonly_hmm,DR-CVaR,0.10000000000000055,10.000000000000007,0.049564629300330856,0.09912925860066155,0.9911690221893854,0.9205053533677138
0.08,altdataonly_hmm,RS-CVaR,0.5888914356328925,2.2257463611737545,0.0,0.0,0.9911690221893854,0.9205053533677138
0.08,altdataonly_hmm,RSDR-CVaR,0.10133744855967242,9.879629629629633,0.05291547006874394,0.10746601147125494,0.9911690221893854,0.9205053533677138
0.08,altdataonly_hmm,SAA-CVaR,0.5354374986624643,2.382717542884297,0.0,0.0,0.9911690221893854,0.9205053533677138
0.1,altdata_bnmeanrank_hmm,DR-CVaR,0.10000000000000055,10.000000000000007,0.061955786625413574,0.12391157325082693,0.9788405518912244,0.9451729689730366
0.1,altdata_bnmeanrank_hmm,RS-CVaR,0.5734060915998515,2.230138161010334,0.0,0.0,0.9788405518912244,0.9451729689730366
0.1,altdata_bnmeanrank_hmm,RSDR-CVaR,0.10204291593180674,9.824074074074074,0.06381659118900494,0.13033483127744444,0.9788405518912244,0.9451729689730366
0.1,altdata_bnmeanrank_hmm,SAA-CVaR,0.5354374986624643,2.382717542884297,0.0,0.0,0.9788405518912244,0.9451729689730366
0.1,altdata_bnmeanrank_kmeans,DR-CVaR,0.10000000000000055,10.000000000000007,0.061955786625413574,0.12391157325082693,0.23217746014922241,0.24149574342642577
0.1,altdata_bnmeanrank_kmeans,RS-CVaR,0.6060161562459128,2.1655211433597823,0.0,0.0,0.23217746014922241,0.24149574342642577
0.1,altdata_bnmeanrank_kmeans,RSDR-CVaR,0.10020576131687349,9.98148148148148,0.07369531651606424,0.147702781749512,0.23217746014922241,0.24149574342642577
0.1,altdata_bnmeanrank_kmeans,SAA-CVaR,0.5354374986624643,2.382717542884297,0.0,0.0,0.23217746014922241,0.24149574342642577
0.1,altdataonly_gmm,DR-CVaR,0.10000000000000055,10.000000000000007,0.061955786625413574,0.12391157325082693,0.7799087335615421,0.29287092877687493
0.1,altdataonly_gmm,RS-CVaR,0.565572685131354,2.3405263726117562,0.0,0.0,0.7799087335615421,0.29287092877687493
0.1,altdataonly_gmm,RSDR-CVaR,0.10000000000000099,10.0,0.07393596658686813,0.14787193317373615,0.7799087335615421,0.29287092877687493
0.1,altdataonly_gmm,SAA-CVaR,0.5354374986624643,2.382717542884297,0.0,0.0,0.7799087335615421,0.29287092877687493
0.1,altdataonly_hmm,DR-CVaR,0.10000000000000055,10.000000000000007,0.061955786625413574,0.12391157325082693,0.9911690221893854,0.9205053533677138
0.1,altdataonly_hmm,RS-CVaR,0.5888914356328925,2.2257463611737545,0.0,0.0,0.9911690221893854,0.9205053533677138
0.1,altdataonly_hmm,RSDR-CVaR,0.10133744855967167,9.879629629629632,0.06614433758592993,0.13433251433906873,0.9911690221893854,0.9205053533677138
0.1,altdataonly_hmm,SAA-CVaR,0.5354374986624643,2.382717542884297,0.0,0.0,0.9911690221893854,0.9205053533677138
