gamma,regime_source,rebalance_month,strategy,success,objective,VaR_v,theta_used,robust_norm_value,robust_penalty_component,max_weight,effective_n_assets,predicted_state,predicted_state_prob,regime_weight_max,regime_weight_argmax,message
0.06,altdata_bnmeanrank_hmm,2018-03-01,RSDR-CVaR,True,0.17788467560627955,0.07577530000000005,0.037334313595158986,0.1000000000000001,0.07466862719031798,0.1000000000000009,9.99999999999999,2,0.9997994561385934,0.9997569067759703,2,Optimization terminated successfully. (HiGHS Status 7: Optimal)
0.06,altdata_bnmeanrank_hmm,2018-04-01,SAA-CVaR,True,0.07184157659159408,0.05274957014937769,0.0,1.0,0.0,0.6120209534336584,2.2194230536642356,2,0.998914326417737,0.9988720215898971,2,Optimization terminated successfully. (HiGHS Status 7: Optimal)
0.06,altdata_bnmeanrank_hmm,2018-04-01,DR-CVaR,True,0.17642534395049386,0.0757752999999988,0.03717347197524814,0.0999999999999976,0.07434694395049443,0.10000000000000375,10.000000000000204,2,0.998914326417737,0.9988720215898971,2,Optimization terminated successfully. (HiGHS Status 7: Optimal)
0.06,altdata_bnmeanrank_hmm,2018-04-01,RS-CVaR,True,0.07232167483380782,0.05402610775339991,0.0,1.0,0.0,0.6048548471414883,2.2498355746180847,2,0.998914326417737,0.9988720215898971,2,Optimization terminated successfully. (HiGHS Status 7: Optimal)
0.06,altdata_bnmeanrank_hmm,2018-04-01,RSDR-CVaR,True,0.1775890018738293,0.07577529999999942,0.03731676014788959,0.10000000000000041,0.07463352029577941,0.1000000000000005,9.999999999999982,2,0.998914326417737,0.9988720215898971,2,Optimization terminated successfully. (HiGHS Status 7: Optimal)
0.06,altdata_bnmeanrank_hmm,2018-05-01,SAA-CVaR,True,0.07184157659159408,0.05274957014937769,0.0,1.0,0.0,0.6120209534336584,2.2194230536642356,2,0.9846922550037261,0.9846693961298553,2,Optimization terminated successfully. (HiGHS Status 7: Optimal)
0.06,altdata_bnmeanrank_hmm,2018-05-01,DR-CVaR,True,0.17642534395049386,0.0757752999999988,0.03717347197524814,0.0999999999999976,0.07434694395049443,0.10000000000000375,10.000000000000204,2,0.9846922550037261,0.9846693961298553,2,Optimization terminated successfully. (HiGHS Status 7: Optimal)
0.06,altdata_bnmeanrank_hmm,2018-05-01,RS-CVaR,True,0.07203227578284943,0.05274957014937769,0.0,1.0,0.0,0.6120209534336584,2.2194230536642356,2,0.9846922550037261,0.9846693961298553,2,Optimization terminated successfully. (HiGHS Status 7: Optimal)
0.06,altdata_bnmeanrank_hmm,2018-05-01,RSDR-CVaR,True,0.1774425711412348,0.07577530000000002,0.037550722219345536,0.1,0.07510144443869102,0.1,9.999999999999998,2,0.9846922550037261,0.9846693961298553,2,Optimization terminated successfully. (HiGHS Status 7: Optimal)
0.06,altdata_bnmeanrank_hmm,2018-06-01,SAA-CVaR,True,0.07184157659159408,0.05274957014937769,0.0,1.0,0.0,0.6120209534336584,2.2194230536642356,2,0.9978489633701749,0.9981663936709579,2,Optimization terminated successfully. (HiGHS Status 7: Optimal)
0.06,altdata_bnmeanrank_hmm,2018-06-01,DR-CVaR,True,0.17642534395049386,0.0757752999999988,0.03717347197524814,0.0999999999999976,0.07434694395049443,0.10000000000000375,10.000000000000204,2,0.9978489633701749,0.9981663936709579,2,Optimization terminated successfully. (HiGHS Status 7: Optimal)
0.06,altdata_bnmeanrank_hmm,2018-06-01,RS-CVaR,True,0.07201862145749988,0.05402610775339991,0.0,1.0,0.0,0.6048548471414883,2.2498355746180847,2,0.9978489633701749,0.9981663936709579,2,Optimization terminated successfully. (HiGHS Status 7: Optimal)
0.06,altdata_bnmeanrank_hmm,2018-06-01,RSDR-CVaR,True,0.1768904248130525,0.07577529999999999,0.03718836115792515,0.09999999999999977,0.07437672231585006,0.10000000000000343,10.000000000000007,2,0.9978489633701749,0.9981663936709579,2,Optimization terminated successfully. (HiGHS Status 7: Optimal)
0.06,altdata_bnmeanrank_hmm,2018-07-01,SAA-CVaR,True,0.07171887092306853,0.05402610775339991,0.0,1.0,0.0,0.6048548471414883,2.2498355746180847,2,0.9990471007755868,0.9991638891762569,2,Optimization terminated successfully. (HiGHS Status 7: Optimal)
