gamma,regime_source,rebalance_month,strategy,SPY,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY
0.02,altdata_bnmeanrank_hmm,2015-11-01,DR-CVaR,0.11742501108928492,0.030134198517818303,0.11510784975248788,0.03278287410469902,0.11742501108928495,0.11742501108928498,0.11742501108928498,0.11742501108928498,0.11742501108928498,0.11742501108928498
0.02,altdata_bnmeanrank_hmm,2015-11-01,RS-CVaR,0.0,0.0,0.0,0.0,0.0,0.0,0.6443128499623921,0.35568715003760787,0.0,0.0
0.02,altdata_bnmeanrank_hmm,2015-11-01,RSDR-CVaR,0.1314223905015121,0.0,0.10447147857660553,0.0,0.10699417841432184,0.1314223905015121,0.1314223905015121,0.1314223905015121,0.1314223905015121,0.1314223905015121
0.02,altdata_bnmeanrank_hmm,2015-12-01,SAA-CVaR,0.0,0.0,0.0,0.0,0.0,0.0,0.6443128499623921,0.35568715003760787,0.0,0.0
0.02,altdata_bnmeanrank_hmm,2015-12-01,DR-CVaR,0.11742501108928492,0.030134198517818303,0.11510784975248788,0.03278287410469902,0.11742501108928495,0.11742501108928498,0.11742501108928498,0.11742501108928498,0.11742501108928498,0.11742501108928498
0.02,altdata_bnmeanrank_hmm,2015-12-01,RS-CVaR,0.0,0.0,0.0,0.0,0.0,0.0,0.6443128499623921,0.35568715003760787,0.0,0.0
0.02,altdata_bnmeanrank_hmm,2015-12-01,RSDR-CVaR,0.13142239050151103,0.0,0.10447147857660508,0.0,0.10699417841432113,0.1314223905015137,0.13142239050151266,0.13142239050151192,0.13142239050151308,0.13142239050151144
0.02,altdata_bnmeanrank_hmm,2016-01-01,SAA-CVaR,0.0,0.0,0.0,0.0,0.0,0.0,0.6443128499623921,0.35568715003760787,0.0,0.0
0.02,altdata_bnmeanrank_hmm,2016-01-01,DR-CVaR,0.1174250110892851,0.030134198517817637,0.11510784975248804,0.03278287410469917,0.1174250110892851,0.11742501108928484,0.117425011089285,0.11742501108928503,0.117425011089285,0.117425011089285
0.02,altdata_bnmeanrank_hmm,2016-01-01,RS-CVaR,0.0,0.0,0.0,0.0,0.0,0.0,0.6443128499623921,0.35568715003760787,0.0,0.0
0.02,altdata_bnmeanrank_hmm,2016-01-01,RSDR-CVaR,0.13142239050151214,0.0,0.10447147857660552,0.0,0.10699417841432168,0.13142239050151214,0.13142239050151214,0.13142239050151214,0.13142239050151214,0.13142239050151214
0.02,altdata_bnmeanrank_hmm,2016-02-01,SAA-CVaR,0.0,0.0,0.0,0.0,0.0,0.0,0.6443128499623921,0.35568715003760787,0.0,0.0
0.02,altdata_bnmeanrank_hmm,2016-02-01,DR-CVaR,0.1174250110892851,0.030134198517817637,0.11510784975248804,0.03278287410469917,0.1174250110892851,0.11742501108928484,0.117425011089285,0.11742501108928503,0.117425011089285,0.117425011089285
0.02,altdata_bnmeanrank_hmm,2016-02-01,RS-CVaR,0.0,0.0,0.0,0.0,0.0,0.0,0.6443128499623921,0.35568715003760787,0.0,0.0
0.02,altdata_bnmeanrank_hmm,2016-02-01,RSDR-CVaR,0.1314223905015121,0.0,0.10447147857660552,0.0,0.10699417841432184,0.1314223905015121,0.1314223905015121,0.1314223905015121,0.1314223905015121,0.1314223905015121
0.02,altdata_bnmeanrank_hmm,2016-03-01,SAA-CVaR,0.0,0.0,0.0,0.0,0.0,0.0,0.6443128499623921,0.35568715003760787,0.0,0.0
0.02,altdata_bnmeanrank_hmm,2016-03-01,DR-CVaR,0.1174250110892851,0.030134198517817637,0.11510784975248804,0.03278287410469917,0.1174250110892851,0.11742501108928484,0.117425011089285,0.11742501108928503,0.117425011089285,0.117425011089285
0.02,altdata_bnmeanrank_hmm,2016-03-01,RS-CVaR,0.0,0.0,0.0,0.0,0.0,0.0,0.6443128499623921,0.35568715003760787,0.0,0.0
0.02,altdata_bnmeanrank_hmm,2016-03-01,RSDR-CVaR,0.13142239050151214,0.0,0.10447147857660552,0.0,0.10699417841432168,0.13142239050151214,0.13142239050151214,0.13142239050151214,0.13142239050151214,0.13142239050151214
0.02,altdata_bnmeanrank_hmm,2016-04-01,SAA-CVaR,0.0,0.0,0.0,0.0,0.0,0.0,0.6443128499623921,0.35568715003760787,0.0,0.0
0.02,altdata_bnmeanrank_hmm,2016-04-01,DR-CVaR,0.1174250110892851,0.030134198517817637,0.11510784975248804,0.03278287410469917,0.1174250110892851,0.11742501108928484,0.117425011089285,0.11742501108928503,0.117425011089285,0.117425011089285
0.02,altdata_bnmeanrank_hmm,2016-04-01,RS-CVaR,0.0,0.0,0.0,0.0,0.0,0.0,0.6443128499623921,0.35568715003760787,0.0,0.0
0.02,altdata_bnmeanrank_hmm,2016-04-01,RSDR-CVaR,0.1314223905015121,0.0,0.10447147857660552,0.0,0.10699417841432184,0.1314223905015121,0.1314223905015121,0.1314223905015121,0.1314223905015121,0.1314223905015121
0.02,altdata_bnmeanrank_hmm,2016-05-01,SAA-CVaR,0.0,0.0,0.0,0.0,0.0,0.0,0.6443128499623921,0.35568715003760787,0.0,0.0
0.02,altdata_bnmeanrank_hmm,2016-05-01,DR-CVaR,0.1174250110892851,0.030134198517817637,0.11510784975248804,0.03278287410469917,0.1174250110892851,0.11742501108928484,0.117425011089285,0.11742501108928503,0.117425011089285,0.117425011089285
0.02,altdata_bnmeanrank_hmm,2016-05-01,RS-CVaR,0.0,0.0,0.0,0.0,0.0,0.0,0.6443128499623921,0.35568715003760787,0.0,0.0
0.02,altdata_bnmeanrank_hmm,2016-05-01,RSDR-CVaR,0.13142239050151214,0.0,0.10447147857660555,0.0,0.10699417841432174,0.13142239050151214,0.13142239050151214,0.13142239050151214,0.13142239050151214,0.13142239050151214
0.02,altdata_bnmeanrank_hmm,2016-06-01,SAA-CVaR,0.0,0.0,0.0,0.0,0.0,0.0,0.6443128499623921,0.35568715003760787,0.0,0.0
0.02,altdata_bnmeanrank_hmm,2016-06-01,DR-CVaR,0.1174250110892851,0.030134198517817637,0.11510784975248804,0.03278287410469917,0.1174250110892851,0.11742501108928484,0.117425011089285,0.11742501108928503,0.117425011089285,0.117425011089285
0.02,altdata_bnmeanrank_hmm,2016-06-01,RS-CVaR,0.0,0.0,0.0,0.0,0.0,0.0,0.6443128499623921,0.35568715003760787,0.0,0.0
0.02,altdata_bnmeanrank_hmm,2016-06-01,RSDR-CVaR,0.13142239050151194,0.0,0.10447147857660455,0.0,0.10699417841432365,0.13142239050151086,0.13142239050151194,0.13142239050151194,0.13142239050151194,0.1314223905015125
0.02,altdata_bnmeanrank_hmm,2016-07-01,SAA-CVaR,0.0,0.0,0.0,0.0,0.0,0.0,0.6443128499623921,0.35568715003760787,0.0,0.0
0.02,altdata_bnmeanrank_hmm,2016-07-01,DR-CVaR,0.11742501108928413,0.030134198517818664,0.1151078497524879,0.0327828741046992,0.11742501108928474,0.11742501108928544,0.11742501108928496,0.11742501108928502,0.11742501108928496,0.11742501108928496
0.02,altdata_bnmeanrank_hmm,2016-07-01,RS-CVaR,0.0,0.0,0.0,0.0,0.0,0.0,0.6443128499623921,0.35568715003760787,0.0,0.0
0.02,altdata_bnmeanrank_hmm,2016-07-01,RSDR-CVaR,0.1314223905015121,0.0,0.10447147857660555,0.0,0.10699417841432178,0.1314223905015121,0.1314223905015121,0.1314223905015121,0.1314223905015121,0.1314223905015121
0.02,altdata_bnmeanrank_hmm,2016-08-01,SAA-CVaR,0.0,0.0,0.0,0.0,0.0,0.0,0.6443128499623921,0.35568715003760787,0.0,0.0
0.02,altdata_bnmeanrank_hmm,2016-08-01,DR-CVaR,0.11742501108928413,0.030134198517818664,0.1151078497524879,0.0327828741046992,0.11742501108928474,0.11742501108928544,0.11742501108928496,0.11742501108928502,0.11742501108928496,0.11742501108928496
0.02,altdata_bnmeanrank_hmm,2016-08-01,RS-CVaR,0.0,0.0,0.0,0.0,0.0,0.0,0.6443128499623921,0.35568715003760787,0.0,0.0
0.02,altdata_bnmeanrank_hmm,2016-08-01,RSDR-CVaR,0.13142239050152166,0.0,0.10447147857660462,0.0,0.10699417841432965,0.13142239050151244,0.13142239050151308,0.13142239050151241,0.1314223905015123,0.13142239050149587
0.02,altdata_bnmeanrank_hmm,2016-09-01,SAA-CVaR,0.0,0.0,0.0,0.0,0.0,0.0,0.6443128499623921,0.35568715003760787,0.0,0.0
0.02,altdata_bnmeanrank_hmm,2016-09-01,DR-CVaR,0.11742501108928413,0.030134198517818664,0.1151078497524879,0.0327828741046992,0.11742501108928474,0.11742501108928544,0.11742501108928496,0.11742501108928502,0.11742501108928496,0.11742501108928496
0.02,altdata_bnmeanrank_hmm,2016-09-01,RS-CVaR,0.0,0.0,0.0,0.0,0.0,0.0,0.6443128499623921,0.35568715003760787,0.0,0.0
0.02,altdata_bnmeanrank_hmm,2016-09-01,RSDR-CVaR,0.13142239050151158,0.0,0.10447147857660392,0.0,0.10699417841432338,0.1314223905015113,0.13142239050151214,0.13142239050151344,0.13142239050151136,0.13142239050151172
0.02,altdata_bnmeanrank_hmm,2016-10-01,SAA-CVaR,0.0,0.0,0.0,0.0,0.0,0.0,0.6443128499623921,0.35568715003760787,0.0,0.0
0.02,altdata_bnmeanrank_hmm,2016-10-01,DR-CVaR,0.11742501108928498,0.0301341985178184,0.11510784975248785,0.032782874104699045,0.11742501108928492,0.11742501108928498,0.11742501108928498,0.11742501108928498,0.11742501108928498,0.11742501108928498
0.02,altdata_bnmeanrank_hmm,2016-10-01,RS-CVaR,0.0,0.0,0.0,0.0,0.0,0.0,0.6443128499623921,0.35568715003760787,0.0,0.0
0.02,altdata_bnmeanrank_hmm,2016-10-01,RSDR-CVaR,0.1314223905015121,0.0,0.10447147857660553,0.0,0.10699417841432184,0.1314223905015121,0.1314223905015121,0.1314223905015121,0.1314223905015121,0.1314223905015121
0.02,altdata_bnmeanrank_hmm,2016-11-01,SAA-CVaR,0.0,0.0,0.0,0.0,0.0,0.0,0.6443128499623921,0.35568715003760787,0.0,0.0
0.02,altdata_bnmeanrank_hmm,2016-11-01,DR-CVaR,0.11742501108928496,0.030134198517818553,0.11510784975248775,0.03278287410469903,0.11742501108928496,0.11742501108928496,0.11742501108928496,0.11742501108928496,0.11742501108928496,0.11742501108928496
0.02,altdata_bnmeanrank_hmm,2016-11-01,RS-CVaR,0.0,0.0,0.0,0.0,0.0,0.0,0.6443128499623921,0.35568715003760787,0.0,0.0
0.02,altdata_bnmeanrank_hmm,2016-11-01,RSDR-CVaR,0.1314223905015124,0.0,0.10447147857660519,0.0,0.10699417841432028,0.13142239050151228,0.13142239050151255,0.1314223905015124,0.1314223905015115,0.1314223905015124
0.02,altdata_bnmeanrank_hmm,2016-12-01,SAA-CVaR,0.0,0.0,0.0,0.0,0.0,0.0,0.6443128499623921,0.35568715003760787,0.0,0.0
0.02,altdata_bnmeanrank_hmm,2016-12-01,DR-CVaR,0.11742501108928498,0.03013419851781834,0.11510784975248783,0.032782874104699065,0.11742501108928498,0.11742501108928498,0.11742501108928498,0.11742501108928498,0.11742501108928498,0.11742501108928498
0.02,altdata_bnmeanrank_hmm,2016-12-01,RS-CVaR,0.0,0.0,0.0,0.0,0.0,0.0,0.6443128499623921,0.35568715003760787,0.0,0.0
0.02,altdata_bnmeanrank_hmm,2016-12-01,RSDR-CVaR,0.1314223905015119,0.0,0.10447147857660681,0.0,0.10699417841432136,0.13142239050151008,0.13142239050151192,0.13142239050151747,0.131422390501512,0.13142239050151328
0.02,altdata_bnmeanrank_hmm,2017-01-01,SAA-CVaR,0.0,0.0,0.0,0.0,0.0,0.0,0.6443128499623921,0.35568715003760787,0.0,0.0
0.02,altdata_bnmeanrank_hmm,2017-01-01,DR-CVaR,0.11742501108928505,0.030134198517818803,0.11510784975248729,0.0327828741046987,0.11742501108928499,0.11742501108928506,0.11742501108928505,0.11742501108928505,0.11742501108928505,0.11742501108928505
0.02,altdata_bnmeanrank_hmm,2017-01-01,RS-CVaR,0.0,0.0,0.0,0.0,0.0,0.0,0.6443128499623921,0.35568715003760787,0.0,0.0
0.02,altdata_bnmeanrank_hmm,2017-01-01,RSDR-CVaR,0.1314223905015124,0.0,0.1044714785766051,0.0,0.10699417841432377,0.1314223905015124,0.13142239050151125,0.13142239050151214,0.13142239050151092,0.1314223905015124
0.02,altdata_bnmeanrank_hmm,2017-02-01,SAA-CVaR,0.0,0.0,0.0,0.0,0.0,0.0,0.6443128499623921,0.35568715003760787,0.0,0.0
0.02,altdata_bnmeanrank_hmm,2017-02-01,DR-CVaR,0.11742501108928505,0.030134198517818803,0.11510784975248729,0.0327828741046987,0.11742501108928499,0.11742501108928506,0.11742501108928505,0.11742501108928505,0.11742501108928505,0.11742501108928505
0.02,altdata_bnmeanrank_hmm,2017-02-01,RS-CVaR,0.0,0.0,0.0,0.0,0.0,0.0,0.6443128499623921,0.35568715003760787,0.0,0.0
0.02,altdata_bnmeanrank_hmm,2017-02-01,RSDR-CVaR,0.13142239050151336,0.0,0.10447147857660746,0.0,0.1069941784143174,0.13142239050151272,0.131422390501515,0.1314223905015132,0.1314223905015075,0.1314223905015135
0.02,altdata_bnmeanrank_hmm,2017-03-01,SAA-CVaR,0.0,0.0,0.0,0.0,0.0,0.0,0.6443128499623921,0.35568715003760787,0.0,0.0
0.02,altdata_bnmeanrank_hmm,2017-03-01,DR-CVaR,0.11742501108928505,0.030134198517818803,0.11510784975248729,0.0327828741046987,0.11742501108928499,0.11742501108928506,0.11742501108928505,0.11742501108928505,0.11742501108928505,0.11742501108928505
0.02,altdata_bnmeanrank_hmm,2017-03-01,RS-CVaR,0.0,0.0,0.0,0.0,0.0,0.0,0.6443128499623921,0.35568715003760787,0.0,0.0
0.02,altdata_bnmeanrank_hmm,2017-03-01,RSDR-CVaR,0.13142239050151142,0.0,0.10447147857660681,0.0,0.10699417841432607,0.13142239050151183,0.13142239050151142,0.1314223905015091,0.13142239050151364,0.13142239050151142
0.02,altdata_bnmeanrank_hmm,2017-04-01,SAA-CVaR,0.0,0.0,0.0,0.0,0.0,0.0,0.6443128499623921,0.35568715003760787,0.0,0.0
0.02,altdata_bnmeanrank_hmm,2017-04-01,DR-CVaR,0.11742501108928505,0.030134198517818803,0.11510784975248729,0.0327828741046987,0.11742501108928499,0.11742501108928506,0.11742501108928505,0.11742501108928505,0.11742501108928505,0.11742501108928505
0.02,altdata_bnmeanrank_hmm,2017-04-01,RS-CVaR,0.0,0.0,0.0,0.0,0.0,0.0,0.6443128499623921,0.35568715003760787,0.0,0.0
0.02,altdata_bnmeanrank_hmm,2017-04-01,RSDR-CVaR,0.1314223905015121,0.0,0.10447147857660552,0.0,0.1069941784143217,0.1314223905015121,0.1314223905015121,0.1314223905015121,0.1314223905015121,0.1314223905015121
0.02,altdata_bnmeanrank_hmm,2017-05-01,SAA-CVaR,0.0,0.0,0.0,0.0,0.0,0.0,0.6443128499623921,0.35568715003760787,0.0,0.0
0.02,altdata_bnmeanrank_hmm,2017-05-01,DR-CVaR,0.11742501108928505,0.030134198517818803,0.11510784975248729,0.0327828741046987,0.11742501108928499,0.11742501108928506,0.11742501108928505,0.11742501108928505,0.11742501108928505,0.11742501108928505
0.02,altdata_bnmeanrank_hmm,2017-05-01,RS-CVaR,0.0,0.0,0.0,0.0,0.0,0.0,0.6443128499623921,0.35568715003760787,0.0,0.0
0.02,altdata_bnmeanrank_hmm,2017-05-01,RSDR-CVaR,0.13142239050151214,0.0,0.10447147857660652,0.0,0.10699417841432152,0.13142239050151092,0.13142239050151214,0.131422390501512,0.1314223905015113,0.1314223905015132
0.02,altdata_bnmeanrank_hmm,2017-06-01,SAA-CVaR,0.0,0.0,0.0,0.0,0.0,0.0,0.6443128499623921,0.35568715003760787,0.0,0.0
0.02,altdata_bnmeanrank_hmm,2017-06-01,DR-CVaR,0.11742501108928485,0.030134198517817665,0.11510784975248844,0.032782874104700016,0.11742501108928494,0.11742501108928487,0.11742501108928487,0.11742501108928487,0.11742501108928487,0.11742501108928487
0.02,altdata_bnmeanrank_hmm,2017-06-01,RS-CVaR,0.0,0.0,0.0,0.0,0.0,0.0,0.6443128499623921,0.35568715003760787,0.0,0.0
