,XLK,XLF,XLE,XLV,XLI,XLY,XLP,XLU,XLRE,XLB,XLC
2021-07-28,0.0,0.0,0.0,0.0,0.0,0.013761244094341056,0.8564266997792441,0.12981205612641572,0.0,0.0,0.0
2021-07-29,0.0,0.0,0.0,0.10783960332951852,0.0,0.0,0.6901136789493242,0.05731372356834614,0.0,0.0,0.14473299415281116
2021-07-30,0.0,0.0,0.0,0.12019760747459263,0.0,0.0,0.7923984225260223,0.08740396999938499,0.0,0.0,0.0
2021-08-02,0.0,0.0,0.0,0.11320532320535208,0.0,0.02548572387250205,0.6070016370528828,0.11885479659938387,0.0,0.0,0.13545251926988494
2021-08-03,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-08-04,0.0,0.0,0.0,0.21957654230214246,0.0,0.0,0.6435785714312382,0.13684488626661934,0.0,0.0,0.0
2021-08-05,0.0,0.0,0.0,0.0,0.0,0.0,0.8265732674333166,0.1734267325666834,0.0,0.0,0.0
2021-08-06,0.0,0.0,0.0,0.5430691545521382,0.0,0.07523032888146138,0.26836656430936945,0.11333395225703073,0.0,0.0,0.0
2021-08-09,0.0,0.0,0.0,0.006994577423120043,0.0,0.0,0.8474594334121592,0.14554598916472072,0.0,0.0,0.0
2021-08-10,0.0,0.0,0.0,0.00343245444535408,0.0,0.0,0.7852035659103678,0.21136397964427509,0.0,0.0,0.0
2021-08-11,0.0,0.0,0.0,0.4019056415789373,0.0,0.06728193503882303,0.22383941272985816,0.0,0.0,0.0,0.3069730106523666
2021-08-12,0.0,0.0,0.0,0.4523466059306384,0.0,0.0,0.46497170931129445,0.0,0.0,0.0,0.08268168475806709
2021-08-13,0.0,0.0,0.0,0.0,0.0,0.0,0.7408571582820781,0.13903556379126977,0.0,0.0,0.12010727792665317
2021-08-16,0.0,0.0,0.0,0.0,0.0,0.0,0.9683191960813483,0.03168080391865169,0.0,0.0,0.0
2021-08-17,0.0,0.0,0.0,0.3214259111882773,0.0,0.1823085672848671,0.47971535679629557,0.016550164730560767,0.0,0.0,0.0
2021-08-18,0.0,0.0,0.0,0.0,0.0,0.0,0.8614471829822681,0.055198637712660995,0.0,0.0,0.08335417930507097
2021-08-19,0.0,0.0,0.0,0.0,0.0,0.0,0.8478990868596082,0.15210091314039176,0.0,0.0,0.0
2021-08-20,0.0,0.0,0.0,0.40747064512201625,0.0,0.005742581067678933,0.4489143042204661,0.05984060774994612,0.0,0.0,0.0780318618398926
2021-08-23,0.0,0.0,0.0,0.010003665008899452,0.0,0.0,0.770049481257534,0.0,0.0,0.0,0.21994685373356648
2021-08-24,0.0,0.0,0.0,0.17070795670181638,0.0,0.0,0.7505860782513253,0.07870596504685831,0.0,0.0,0.0
2021-08-25,0.0,0.0,0.0,0.07595283725382977,0.0,0.17438384095681883,0.7496633217893514,0.0,0.0,0.0,0.0
