gamma,rebalance_month,strategy,SPY,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY
0.02,2016-03-01,RS_CVaR,0.0,0.0,0.0,0.0,0.0,0.0,0.6751136363636364,0.3248863636363636,0.0,0.0
0.02,2016-03-01,DR_CVaR_l1,0.1174250110892851,0.030134198517817637,0.11510784975248804,0.03278287410469917,0.1174250110892851,0.11742501108928484,0.117425011089285,0.11742501108928503,0.117425011089285,0.117425011089285
0.02,2016-03-01,RSDR_CVaR_l1,0.10985112406096016,0.10985112406096019,0.10230207529259336,0.018888932219726172,0.10985112406096026,0.10985112406096031,0.10985112406096026,0.10985112406095915,0.10985112406096101,0.10985112406095991
0.02,2016-04-01,SAA_CVaR,0.0,0.0,0.0,0.0,0.0,0.0,0.6443128499623921,0.35568715003760787,0.0,0.0
0.02,2016-04-01,RS_CVaR,0.0,0.0,0.0,0.0,0.0,0.0,0.6751136363636364,0.3248863636363636,0.0,0.0
0.02,2016-04-01,DR_CVaR_l1,0.1174250110892851,0.030134198517817637,0.11510784975248804,0.03278287410469917,0.1174250110892851,0.11742501108928484,0.117425011089285,0.11742501108928503,0.117425011089285,0.117425011089285
0.02,2016-04-01,RSDR_CVaR_l1,0.10948595575626206,0.10948595575626155,0.10948595575626227,0.014626398193646953,0.10948595575625887,0.10948595575626151,0.10948595575626155,0.10948595575626145,0.10948595575626147,0.10948595575626165
0.02,2016-05-01,SAA_CVaR,0.0,0.0,0.0,0.0,0.0,0.0,0.6443128499623921,0.35568715003760787,0.0,0.0
0.02,2016-05-01,RS_CVaR,0.0,0.0,0.0,0.0,0.0,0.0,0.6751136363636364,0.3248863636363636,0.0,0.0
0.02,2016-05-01,DR_CVaR_l1,0.1174250110892851,0.030134198517817637,0.11510784975248804,0.03278287410469917,0.1174250110892851,0.11742501108928484,0.117425011089285,0.11742501108928503,0.117425011089285,0.117425011089285
0.02,2016-05-01,RSDR_CVaR_l1,0.10985112406095997,0.10985112406095997,0.10230207529259445,0.018888932219727157,0.10985112406095948,0.10985112406095907,0.10985112406095997,0.10985112406096108,0.10985112406095997,0.10985112406096009
0.02,2016-06-01,SAA_CVaR,0.0,0.0,0.0,0.0,0.0,0.0,0.6443128499623921,0.35568715003760787,0.0,0.0
0.02,2016-06-01,RS_CVaR,0.0,0.0,0.0,0.0,0.0,0.0,0.7875893220778258,0.21241067792217416,0.0,0.0
0.02,2016-06-01,DR_CVaR_l1,0.1174250110892851,0.030134198517817637,0.11510784975248804,0.03278287410469917,0.1174250110892851,0.11742501108928484,0.117425011089285,0.11742501108928503,0.117425011089285,0.117425011089285
0.02,2016-06-01,RSDR_CVaR_l1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111
0.02,2016-07-01,SAA_CVaR,0.0,0.0,0.0,0.0,0.0,0.0,0.6443128499623921,0.35568715003760787,0.0,0.0
0.02,2016-07-01,RS_CVaR,0.0,0.0,0.0,0.0,0.0,0.0,0.6751136363636364,0.3248863636363636,0.0,0.0
0.02,2016-07-01,DR_CVaR_l1,0.11742501108928413,0.030134198517818664,0.1151078497524879,0.0327828741046992,0.11742501108928474,0.11742501108928544,0.11742501108928496,0.11742501108928502,0.11742501108928496,0.11742501108928496
0.02,2016-07-01,RSDR_CVaR_l1,0.10948595575626141,0.10948595575626141,0.10948595575626141,0.01462639819364727,0.10948595575626141,0.10948595575626141,0.10948595575626141,0.10948595575626141,0.10948595575626141,0.10948595575626141
0.02,2016-08-01,SAA_CVaR,0.0,0.0,0.0,0.0,0.0,0.0,0.6443128499623921,0.35568715003760787,0.0,0.0
0.02,2016-08-01,RS_CVaR,0.0,0.0,0.0,0.0,0.0,0.0,0.6444902407181623,0.3555097592818377,0.0,0.0
0.02,2016-08-01,DR_CVaR_l1,0.11742501108928413,0.030134198517818664,0.1151078497524879,0.0327828741046992,0.11742501108928474,0.11742501108928544,0.11742501108928496,0.11742501108928502,0.11742501108928496,0.11742501108928496
0.02,2016-08-01,RSDR_CVaR_l1,0.11111111111111197,0.11111111111111203,0.11111111111111203,0.0,0.111111111111112,0.11111111111112075,0.11111111111108801,0.11111111111111897,0.11111111111111235,0.11111111111111203
0.02,2016-09-01,SAA_CVaR,0.0,0.0,0.0,0.0,0.0,0.0,0.6443128499623921,0.35568715003760787,0.0,0.0
0.02,2016-09-01,RS_CVaR,0.0,0.0,0.0,0.0,0.0,0.0,0.7875893220778258,0.21241067792217416,0.0,0.0
0.02,2016-09-01,DR_CVaR_l1,0.11742501108928413,0.030134198517818664,0.1151078497524879,0.0327828741046992,0.11742501108928474,0.11742501108928544,0.11742501108928496,0.11742501108928502,0.11742501108928496,0.11742501108928496
0.02,2016-09-01,RSDR_CVaR_l1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0,0.11111111111111116,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111
0.02,2016-10-01,SAA_CVaR,0.0,0.0,0.0,0.0,0.0,0.0,0.6443128499623921,0.35568715003760787,0.0,0.0
0.02,2016-10-01,RS_CVaR,0.0,0.0,0.0,0.0,0.0,0.0,0.7875893220778258,0.21241067792217416,0.0,0.0
0.02,2016-10-01,DR_CVaR_l1,0.11742501108928498,0.0301341985178184,0.11510784975248785,0.032782874104699045,0.11742501108928492,0.11742501108928498,0.11742501108928498,0.11742501108928498,0.11742501108928498,0.11742501108928498
0.02,2016-10-01,RSDR_CVaR_l1,0.11111111111111095,0.11111111111111113,0.11111111111111113,0.0,0.11111111111111113,0.11111111111111113,0.11111111111111113,0.11111111111111113,0.11111111111111113,0.11111111111111113
0.02,2016-11-01,SAA_CVaR,0.0,0.0,0.0,0.0,0.0,0.0,0.6443128499623921,0.35568715003760787,0.0,0.0
0.02,2016-11-01,RS_CVaR,0.0,0.0,0.0,0.0,0.0,0.0,0.6443128499623921,0.35568715003760787,0.0,0.0
0.02,2016-11-01,DR_CVaR_l1,0.11742501108928496,0.030134198517818553,0.11510784975248775,0.03278287410469903,0.11742501108928496,0.11742501108928496,0.11742501108928496,0.11742501108928496,0.11742501108928496,0.11742501108928496
0.02,2016-11-01,RSDR_CVaR_l1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111
0.02,2016-12-01,SAA_CVaR,0.0,0.0,0.0,0.0,0.0,0.0,0.6443128499623921,0.35568715003760787,0.0,0.0
0.02,2016-12-01,RS_CVaR,0.0,0.0,0.0,0.0,0.0,0.0,0.16728282661075253,0.0,0.8327171733892474,0.0
0.02,2016-12-01,DR_CVaR_l1,0.11742501108928498,0.03013419851781834,0.11510784975248783,0.032782874104699065,0.11742501108928498,0.11742501108928498,0.11742501108928498,0.11742501108928498,0.11742501108928498,0.11742501108928498
0.02,2016-12-01,RSDR_CVaR_l1,0.125,0.0,0.125,0.0,0.125,0.125,0.125,0.125,0.125,0.125
0.02,2017-01-01,SAA_CVaR,0.0,0.0,0.0,0.0,0.0,0.0,0.6443128499623921,0.35568715003760787,0.0,0.0
0.02,2017-01-01,RS_CVaR,0.0,0.0,0.0,0.0,0.0,0.0,0.7875893220778258,0.21241067792217416,0.0,0.0
0.02,2017-01-01,DR_CVaR_l1,0.11742501108928505,0.030134198517818803,0.11510784975248729,0.0327828741046987,0.11742501108928499,0.11742501108928506,0.11742501108928505,0.11742501108928505,0.11742501108928505,0.11742501108928505
0.02,2017-01-01,RSDR_CVaR_l1,0.1111111111111111,0.1111111111111111,0.11111111111111116,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111
0.02,2017-02-01,SAA_CVaR,0.0,0.0,0.0,0.0,0.0,0.0,0.6443128499623921,0.35568715003760787,0.0,0.0
0.02,2017-02-01,RS_CVaR,0.0,0.0,0.0,0.0,0.0,0.0,0.7875893220778258,0.21241067792217416,0.0,0.0
0.02,2017-02-01,DR_CVaR_l1,0.11742501108928505,0.030134198517818803,0.11510784975248729,0.0327828741046987,0.11742501108928499,0.11742501108928506,0.11742501108928505,0.11742501108928505,0.11742501108928505,0.11742501108928505
0.02,2017-02-01,RSDR_CVaR_l1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111
