gamma,strategy,prev_regime_signal,n_months,ann_return,ann_vol,sharpe,tail5_avg_loss,worst_month,best_month,avg_max_weight,avg_effective_n_assets
0.02,RSDR_CVaR_l1,Inflation,2,0.0859421715943991,0.02580394983201803,3.2125770528597966,-0.001640888888888888,0.001640888888888888,0.012175307295025535,0.11475342429934737,8.850404273656286
0.02,RSDR_CVaR_l1,Steady_State,60,0.005218795336807469,0.10391769704887939,0.10191421405175435,0.06997125925925925,-0.08605066666666666,0.07210980171449871,0.11252436199845685,8.928720485780342
0.02,RSDR_CVaR_l1,WOI,37,0.22484639351112357,0.16367583895589347,1.329653838237742,0.0867534817191461,-0.08775983843829228,0.0940672842356313,0.11927771127484081,8.591634418916497
0.02,RS_CVaR,Crisis,9,0.3731658584438926,0.1910955648858092,1.763929239192345,0.05843870280270379,-0.05843870280270379,0.12826101929212927,0.6278106803842366,1.9349257639802546
0.02,RS_CVaR,Inflation,2,-0.04455470900161618,0.08454378137530426,-0.516865333273807,0.02089890625264048,-0.02089890625264048,0.01361594796317806,0.5118493629941203,2.498686767599003
0.02,RS_CVaR,Steady_State,60,0.01946047844068466,0.10198993915566605,0.23967526215871257,0.06295350382744827,-0.07044509424357026,0.058204603021215155,0.6294884753696537,2.173853716713631
0.02,RS_CVaR,WOI,37,0.19628507780718096,0.1537506496447874,1.249507324664939,0.09296604805406726,-0.09820407609758694,0.09469641084812526,0.5768538707713665,2.263442012143721
0.02,SAA_CVaR,Crisis,9,0.31720492471789585,0.1994956941068651,1.48854890591757,0.1080326998400499,-0.1080326998400499,0.07727226019828774,0.5257031027392116,2.4913150763311593
0.02,SAA_CVaR,Inflation,2,-0.04455470900161618,0.08454378137530426,-0.516865333273807,0.02089890625264048,-0.02089890625264048,0.01361594796317806,0.5118493629941203,2.498686767599003
0.02,SAA_CVaR,Steady_State,60,0.030888817050706452,0.10204964063078896,0.34924632648141796,0.06942084491292035,-0.07588346080527578,0.06142789381439607,0.5594553679057246,2.2807084500167436
0.02,SAA_CVaR,WOI,37,0.19694357832664622,0.14624899418032306,1.309879103044452,0.08582569747401694,-0.08735668651864655,0.08297520717519348,0.5001324629881492,2.515453470495163
0.04,DR_CVaR_l1,Crisis,9,0.25683223307063163,0.252238671706632,1.029615921251187,0.12667269545019677,-0.12667269545019677,0.11295811111111112,0.1103069054053015,9.120813826896576
0.04,DR_CVaR_l1,Inflation,2,0.06887237681939173,0.01926565776838663,3.471550183355255,-0.0016408888888890085,0.0016408888888890085,0.009506060737494692,0.11029853343368906,9.125410993772775
0.04,DR_CVaR_l1,Steady_State,60,-0.0026750153965121592,0.10582436409174169,0.027485729940214497,0.07258154074074072,-0.0885878,0.07386433333333334,0.10760520218855703,9.40452931279194
0.04,DR_CVaR_l1,WOI,37,0.23823666910353003,0.16708980540215004,1.3720129231512352,0.08978889999999992,-0.0924058,0.10405322222222221,0.10920129417286864,9.232904642380259
0.04,RSDR_CVaR_l1,Crisis,9,0.22976002110636196,0.2727204549937744,0.8902415688615213,0.1441794,-0.1441794,0.11525025,0.12341269841269839,8.222222222222221
0.04,RSDR_CVaR_l1,Inflation,2,0.07017993100625852,0.01976955954847592,3.4454991186311625,-0.0016408888888889222,0.0016408888888889222,0.009711777777777757,0.11111111111111163,9.000000000000004
0.04,RSDR_CVaR_l1,Steady_State,60,0.006091233842435706,0.1028906660763783,0.11029785882031025,0.07196029999999999,-0.08858780000000001,0.075378,0.10509371521936003,9.622399838609585
0.04,RSDR_CVaR_l1,WOI,37,0.23892675512390937,0.16833544332353495,1.3663380205224094,0.08985224700084332,-0.09240580000000029,0.10405322222222223,0.10777801648826135,9.382477313814945
0.04,RS_CVaR,Crisis,9,0.3731658584438926,0.1910955648858092,1.763929239192345,0.05843870280270379,-0.05843870280270379,0.12826101929212927,0.6278106803842366,1.9349257639802546
0.04,RS_CVaR,Inflation,2,-0.04455470900161618,0.08454378137530426,-0.516865333273807,0.02089890625264048,-0.02089890625264048,0.01361594796317806,0.5118493629941203,2.498686767599003
0.04,RS_CVaR,Steady_State,60,0.01946047844068466,0.10198993915566605,0.23967526215871257,0.06295350382744827,-0.07044509424357026,0.058204603021215155,0.6294884753696537,2.173853716713631
0.04,RS_CVaR,WOI,37,0.19628507780718096,0.1537506496447874,1.249507324664939,0.09296604805406726,-0.09820407609758694,0.09469641084812526,0.5768538707713665,2.263442012143721
0.04,SAA_CVaR,Crisis,9,0.31720492471789585,0.1994956941068651,1.48854890591757,0.1080326998400499,-0.1080326998400499,0.07727226019828774,0.5257031027392116,2.4913150763311593
0.04,SAA_CVaR,Inflation,2,-0.04455470900161618,0.08454378137530426,-0.516865333273807,0.02089890625264048,-0.02089890625264048,0.01361594796317806,0.5118493629941203,2.498686767599003
0.04,SAA_CVaR,Steady_State,60,0.030888817050706452,0.10204964063078896,0.34924632648141796,0.06942084491292035,-0.07588346080527578,0.06142789381439607,0.5594553679057246,2.2807084500167436
0.04,SAA_CVaR,WOI,37,0.19694357832664622,0.14624899418032306,1.309879103044452,0.08582569747401694,-0.08735668651864655,0.08297520717519348,0.5001324629881492,2.515453470495163
0.06,DR_CVaR_l1,Crisis,9,0.2621976529385419,0.26894123152233473,0.9981736790184378,0.1441794,-0.1441794,0.1161793336349683,0.10326356177681709,9.765100878057329
0.06,DR_CVaR_l1,Inflation,2,0.06685689806759076,0.014175182347569336,4.581361611103568,-0.0025183060395912384,0.0025183060395912384,0.00830529999999995,0.1043463257447769,9.68162176627226
0.06,DR_CVaR_l1,Steady_State,60,0.0037508218110116065,0.10487038539935277,0.08794949063095418,0.0725089459143688,-0.0885878,0.075378,0.10088793307211891,9.933645377008677
