gamma,rebalance_month,strategy,var_v,objective,theta_used,max_weight,herfindahl,effective_n_assets,solver,dual_norm,prev_month,prev_hard_regime
0.1,2017-07-01,SAA_CVaR,0.04703974430210485,0.07222332707529935,0.0,0.6443128499623921,0.5416523973285358,1.8462024813922433,linprog-highs,0.6443128499623921,2017-06-01,Steady_State
0.1,2017-07-01,RS_CVaR,0.049206117613636365,0.0612321569469371,0.0,0.6751136363636364,0.5613295712809918,1.781484623583847,linprog-highs,0.6751136363636364,2017-06-01,Steady_State
0.1,2017-07-01,DR_CVaR_l1,0.07577529999999996,0.22598997325082698,0.06195578662541357,0.1,0.10000000000000003,9.999999999999996,linprog-highs,0.1,2017-06-01,Steady_State
0.1,2017-07-01,RSDR_CVaR_l1,0.07186179999999891,0.22247343920200216,0.06809866891385341,0.10000000000000639,0.10000000000000055,9.999999999999945,linprog-highs,0.10000000000000096,2017-06-01,Steady_State
0.1,2017-08-01,SAA_CVaR,0.04703974430210485,0.07222332707529935,0.0,0.6443128499623921,0.5416523973285358,1.8462024813922433,linprog-highs,0.6443128499623921,2017-07-01,Steady_State
0.1,2017-08-01,RS_CVaR,0.046378272872005626,0.057854668457345146,0.0,0.7875893220778258,0.6654152363463668,1.5028210136737428,linprog-highs,0.7875893220778258,2017-07-01,Steady_State
0.1,2017-08-01,DR_CVaR_l1,0.07577529999999998,0.22598997325082693,0.06195578662541357,0.10000000000000249,0.09999999999999998,10.000000000000002,linprog-highs,0.09999999999999995,2017-07-01,Steady_State
0.1,2017-08-01,RSDR_CVaR_l1,0.0579398,0.2181267130805103,0.06787109378646658,0.1,0.10000000000000003,9.999999999999996,linprog-highs,0.1,2017-07-01,Steady_State
0.1,2017-09-01,SAA_CVaR,0.04703974430210485,0.07222332707529935,0.0,0.6443128499623921,0.5416523973285358,1.8462024813922433,linprog-highs,0.6443128499623921,2017-08-01,WOI
0.1,2017-09-01,RS_CVaR,0.05745048208422443,0.07432873152764152,0.0,0.7817057271804796,0.63760149032777,1.5683777644339143,linprog-highs,0.7817057271804796,2017-08-01,WOI
0.1,2017-09-01,DR_CVaR_l1,0.0757753,0.22598997325082704,0.06195578662541357,0.1,0.10000000000000003,9.999999999999996,linprog-highs,0.1,2017-08-01,WOI
0.1,2017-09-01,RSDR_CVaR_l1,0.07577529999999995,0.23813322071864018,0.06887989769402082,0.1,0.1,10.0,linprog-highs,0.1,2017-08-01,WOI
0.1,2017-10-01,SAA_CVaR,0.04703974430210485,0.07222332707529935,0.0,0.6443128499623921,0.5416523973285358,1.8462024813922433,linprog-highs,0.6443128499623921,2017-09-01,Steady_State
0.1,2017-10-01,RS_CVaR,0.046378272872005626,0.05757952393741257,0.0,0.7875893220778258,0.6654152363463668,1.5028210136737428,linprog-highs,0.7875893220778258,2017-09-01,Steady_State
0.1,2017-10-01,DR_CVaR_l1,0.0757753,0.22598997325082704,0.06195578662541357,0.1,0.10000000000000003,9.999999999999996,linprog-highs,0.1,2017-09-01,Steady_State
0.1,2017-10-01,RSDR_CVaR_l1,0.057939800000000284,0.21776493599325977,0.06786652172322499,0.10000000000000306,0.1,10.0,linprog-highs,0.10000000000000014,2017-09-01,Steady_State
0.1,2017-11-01,SAA_CVaR,0.04703974430210485,0.07222332707529935,0.0,0.6443128499623921,0.5416523973285358,1.8462024813922433,linprog-highs,0.6443128499623921,2017-10-01,Steady_State
0.1,2017-11-01,RS_CVaR,0.046378272872005626,0.057844182030497224,0.0,0.7875893220778258,0.6654152363463668,1.5028210136737428,linprog-highs,0.7875893220778258,2017-10-01,Steady_State
0.1,2017-11-01,DR_CVaR_l1,0.0757753,0.22598997325082704,0.06195578662541357,0.1,0.10000000000000003,9.999999999999996,linprog-highs,0.1,2017-10-01,Steady_State
0.1,2017-11-01,RSDR_CVaR_l1,0.05793980000000001,0.2179483614410096,0.0678439228909721,0.1,0.1,10.0,linprog-highs,0.1,2017-10-01,Steady_State
0.1,2017-12-01,SAA_CVaR,0.04703974430210485,0.07222332707529935,0.0,0.6443128499623921,0.5416523973285358,1.8462024813922433,linprog-highs,0.6443128499623921,2017-11-01,WOI
0.1,2017-12-01,RS_CVaR,0.052841130391768895,0.07240052895686103,0.0,0.7267950578199887,0.6028719965031439,1.6587269035555297,linprog-highs,0.7267950578199887,2017-11-01,WOI
0.1,2017-12-01,DR_CVaR_l1,0.0757753,0.22598997325082704,0.06195578662541357,0.1,0.10000000000000003,9.999999999999996,linprog-highs,0.1,2017-11-01,WOI
0.1,2017-12-01,RSDR_CVaR_l1,0.07577529999999986,0.23542058918251724,0.06876499018355917,0.10000000000000063,0.09999999999999978,10.000000000000021,linprog-highs,0.09999999999999992,2017-11-01,WOI
0.1,2018-01-01,SAA_CVaR,0.04703974430210485,0.07222332707529935,0.0,0.6443128499623921,0.5416523973285358,1.8462024813922433,linprog-highs,0.6443128499623921,2017-12-01,Steady_State
0.1,2018-01-01,RS_CVaR,0.046378272872005626,0.05782079642450584,0.0,0.7875893220778258,0.6654152363463668,1.5028210136737428,linprog-highs,0.7875893220778258,2017-12-01,Steady_State
0.1,2018-01-01,DR_CVaR_l1,0.0757753,0.22598997325082704,0.06195578662541357,0.1,0.10000000000000003,9.999999999999996,linprog-highs,0.1,2017-12-01,Steady_State
0.1,2018-01-01,RSDR_CVaR_l1,0.057939800000000014,0.217917773203863,0.06784319254095324,0.10000000000000195,0.09999999999999998,10.000000000000002,linprog-highs,0.10000000000000084,2017-12-01,Steady_State
0.1,2018-02-01,SAA_CVaR,0.04702250493628684,0.06974023683387101,0.0,0.6444902407181623,0.541754859325585,1.8458533094559986,linprog-highs,0.6444902407181623,2018-01-01,Steady_State
0.1,2018-02-01,RS_CVaR,0.04702429258254607,0.056166013670316706,0.0,0.6440931624731082,0.5415256789430031,1.8466344974662827,linprog-highs,0.6440931624731082,2018-01-01,Steady_State
0.1,2018-02-01,DR_CVaR_l1,0.07577530000000028,0.22598997325082715,0.06195578662541357,0.10000000000000159,0.0999999999999998,10.00000000000002,linprog-highs,0.10000000000000002,2018-01-01,Steady_State
0.1,2018-02-01,RSDR_CVaR_l1,0.0579047,0.21815715576522096,0.06782534712449417,0.1,0.10000000000000003,9.999999999999996,linprog-highs,0.1,2018-01-01,Steady_State
0.1,2018-03-01,SAA_CVaR,0.05274957014937769,0.07184157659159408,0.0,0.6120209534336584,0.4505675465292723,2.2194230536642356,linprog-highs,0.6120209534336584,2018-02-01,Steady_State
0.1,2018-03-01,RS_CVaR,0.05307009212507787,0.05977962843698284,0.0,0.5691065030512052,0.41701616662077057,2.3979885674537598,linprog-highs,0.5691065030512052,2018-02-01,Steady_State
0.1,2018-03-01,DR_CVaR_l1,0.0757752999999988,0.22598997325082346,0.06195578662541357,0.10000000000000375,0.09999999999999797,10.000000000000204,linprog-highs,0.0999999999999976,2018-02-01,Steady_State
0.1,2018-03-01,RSDR_CVaR_l1,0.06810919999999994,0.22043007061873648,0.06787552847100178,0.10000000000000236,0.09999999999999977,10.000000000000023,linprog-highs,0.0999999999999999,2018-02-01,Steady_State
0.1,2018-04-01,SAA_CVaR,0.05274957014937769,0.07184157659159408,0.0,0.6120209534336584,0.4505675465292723,2.2194230536642356,linprog-highs,0.6120209534336584,2018-03-01,Inflation
0.1,2018-04-01,RS_CVaR,0.05274957014937769,0.07091419590144755,0.0,0.6120209534336584,0.4505675465292723,2.2194230536642356,linprog-highs,0.6120209534336584,2018-03-01,Inflation
0.1,2018-04-01,DR_CVaR_l1,0.0757752999999988,0.22598997325082346,0.06195578662541357,0.10000000000000375,0.09999999999999797,10.000000000000204,linprog-highs,0.0999999999999976,2018-03-01,Inflation
0.1,2018-04-01,RSDR_CVaR_l1,0.07186179999999988,0.23633786666056,0.06815475000852689,0.1000000000000002,0.09999999999999983,10.000000000000018,linprog-highs,0.09999999999999995,2018-03-01,Inflation
0.1,2018-05-01,SAA_CVaR,0.05274957014937769,0.07184157659159408,0.0,0.6120209534336584,0.4505675465292723,2.2194230536642356,linprog-highs,0.6120209534336584,2018-04-01,Steady_State
0.1,2018-05-01,RS_CVaR,0.0422845549001379,0.05612036187857237,0.0,0.444321224179712,0.36342967443777663,2.7515639760209276,linprog-highs,0.444321224179712,2018-04-01,Steady_State
0.1,2018-05-01,DR_CVaR_l1,0.0757752999999988,0.22598997325082346,0.06195578662541357,0.10000000000000375,0.09999999999999797,10.000000000000204,linprog-highs,0.0999999999999976,2018-04-01,Steady_State
0.1,2018-05-01,RSDR_CVaR_l1,0.056061599999999906,0.21469641605341525,0.0676520064763063,0.10000000000000092,0.09999999999999995,10.000000000000005,linprog-highs,0.09999999999999996,2018-04-01,Steady_State
