,state,crisis,p_crisis,p_state0,p_state1,p_state2,p_state3,p_state4,p_state5
2012-07-01,2,0,1.132635014772312e-08,7.891900470330303e-40,6.788569601985977e-05,0.9999321029777021,1.132635014772312e-08,4.301851530875984e-31,4.313138149138395e-14
2012-08-01,2,0,2.0225883517671482e-08,1.4504026273182814e-37,4.6269827227969095e-05,0.9999537099470545,2.0225883517671482e-08,4.519147118052313e-25,1.0878138599736963e-14
2012-09-01,2,0,3.9555077904304354e-09,1.1196127049242232e-31,3.2206011050850986e-05,0.9999677900335646,3.9555077904304354e-09,7.990678956123033e-26,3.3942391624518155e-15
2012-10-01,2,0,2.0819992838607862e-09,1.447565124876779e-32,7.348215310792867e-06,0.9999926497027462,2.0819992838607862e-09,4.4833188237665944e-26,5.272473225510016e-16
2012-11-01,2,0,9.11074064313366e-10,6.068544719201944e-33,2.351354044547044e-05,0.9999764855483417,9.11074064313366e-10,9.102059689052956e-27,5.600984585083582e-16
2012-12-01,2,0,2.0346307104336313e-09,1.3350478167815947e-33,1.1574177117370762e-05,0.9999884237883385,2.0346307104336313e-09,2.465646621204861e-27,4.448933501678143e-16
2013-01-01,2,0,3.547807883235488e-09,1.8919468398067287e-33,6.148405409222729e-05,0.9999385123979309,3.547807883235488e-09,3.8197802607623796e-27,1.2240039493551303e-14
2013-02-01,2,0,3.0962406895341352e-09,6.11792499992672e-34,1.0498804638364439e-05,0.9999894980989056,3.0962406895341352e-09,9.64234341362635e-26,1.3683052594060727e-15
2013-03-01,2,0,1.1116074230996275e-09,2.918061209664989e-32,5.598175022184793e-05,0.9999440171382443,1.1116074230996275e-09,2.041860527973084e-26,3.837696044788002e-15
2013-04-01,2,0,7.784849324247704e-09,4.35829175767151e-34,4.036689637149013e-06,0.9999959555257126,7.784849324247704e-09,8.354605815134888e-27,3.229322188029435e-16
2013-05-01,2,0,8.710897356556912e-10,4.20587087876705e-34,2.114526631640415e-06,0.9999978846021441,8.710897356556912e-10,3.561157019758807e-28,8.848270888801937e-18
2013-06-01,2,0,2.8821301019014576e-10,2.7565397580408107e-35,8.873514193613113e-06,0.9999911261977926,2.8821301019014576e-10,9.257861932970257e-29,8.118113546650459e-17
2013-07-01,2,0,1.2256732905501743e-09,1.248183872180666e-35,1.8034067350534015e-05,0.9999819647071693,1.2256732905501743e-09,1.296257501626486e-28,1.0822314159897818e-15
2013-08-01,2,0,7.433928357659912e-09,8.781233067189016e-36,6.561793184383396e-06,0.9999934307727242,7.433928357659912e-09,3.7328536312701283e-26,6.29641687014189e-16
2013-09-01,2,0,1.7070897690918888e-09,4.237895116078249e-33,5.702303746813624e-06,0.9999942959892785,1.7070897690918888e-09,1.838620307413686e-27,1.1402499824441487e-16
2013-10-01,2,0,2.4688131015292353e-09,2.5702482300501713e-34,6.277339988501083e-06,0.9999937201911783,2.4688131015292353e-09,4.554455051132769e-27,3.410872940079555e-16
2013-11-01,2,0,6.664166823985156e-10,3.7736150288975958e-34,1.425520403106546e-05,0.9999857441295971,6.664166823985156e-10,2.0819968514991295e-27,5.430915323798105e-16
