,state,crisis,p_crisis,p_state0,p_state1,p_state2,p_state3,p_state4,p_state5
2008-11-01,4,0,9.315519378083387e-27,9.315519378083387e-27,4.101343887243181e-28,2.2532936700078296e-22,2.905057989739656e-06,0.9998945932389125,0.00010250170304172568
2008-12-01,3,0,0.16363862423256462,1.027758303614469e-27,1.3188616395510212e-12,1.8691582547546275e-24,0.5995540200776683,0.16363862423256462,0.23680735568877995
2009-01-01,4,1,0.9999576562147358,1.3141327666967707e-18,7.101204728606841e-12,1.6846699458530408e-16,6.117735768289296e-08,0.9999576562147358,4.228260066585103e-05
2009-02-01,4,1,0.9972624511185162,9.468711215230147e-18,2.5543727387190923e-14,3.444699157221581e-16,2.2124138303117897e-05,0.9972624511185162,0.0027154247434660666
2009-03-01,5,0,0.3719730888907082,7.564503999532277e-20,2.9134475516930408e-09,5.8235106448374385e-18,0.06839669969403388,0.3719730888907082,0.5596302085018685
2009-04-01,4,1,0.9214271111442156,4.4603443013342033e-13,5.442295849656753e-10,1.4362857862608807e-12,0.07221190087074851,0.9214271111442156,0.006360987439364232
2009-05-01,4,1,0.9356871877909415,5.761591587178655e-14,4.080512737150547e-09,5.415922316787294e-13,5.140754011565608e-07,0.9356871877909415,0.06431229405212469
2009-06-01,5,0,0.1282056236493487,6.364113988763965e-15,1.8005420237430137e-08,1.4160486474515095e-13,0.01503523142463893,0.1282056236493487,0.8567591269205501
2009-07-01,5,0,0.08090990772040393,1.5061050534024243e-13,1.3227368124805704e-08,1.924927866590827e-12,0.14853676471739308,0.08090990772040393,0.7705533143325671
2009-08-01,4,1,0.5902538625082082,2.5008006213708805e-13,6.258037061510876e-10,5.729847322418778e-13,0.07200925715892903,0.5902538625082082,0.3377368797059325
2009-09-01,3,0,0.007110424745830189,1.3967215601051766e-18,1.9380301881038444e-10,3.6178767670302204e-17,0.983023235637291,0.007110424745830189,0.009866339423269846
2009-10-01,4,1,0.9949848431640004,2.8323385228748604e-15,5.448835522763151e-09,1.4255235111563582e-13,0.002449909334879399,0.9949848431640004,0.0025652420524015754
2009-11-01,5,0,0.15300953626867236,1.8294335086525116e-14,1.2935877482823283e-08,1.1965650921975728e-12,0.17181361033730116,0.15300953626867236,0.6751768404567766
2009-12-01,5,0,0.4266109234472414,3.814604248944786e-12,2.706624036379613e-07,5.1038619336361036e-12,0.07493077106151237,0.4266109234472414,0.498458034819818
2010-01-01,3,0,0.19925907352904548,3.747624772559377e-13,5.08906123886929e-10,2.6948493443574302e-11,0.5602331593915396,0.19925907352904548,0.24050776654317033
2010-02-01,3,0,0.023327735725434784,4.023636522989772e-16,2.2116022169068803e-08,1.8124747514052402e-14,0.7236401917129102,0.023327735725434784,0.2530320504457524
2010-03-01,3,0,0.020970765686727854,6.52528401312855e-14,8.793465073697272e-09,2.0737284079083515e-13,0.8112128540773363,0.020970765686727854,0.16781637144206496
