gamma,regime_source,month,strategy,return,predicted_state
0.02,altdata_bnmeanrank_hmm,2014-01-01,RS-CVaR,-0.022582623020226268,3
0.02,altdata_bnmeanrank_hmm,2014-01-01,RSDR-CVaR,-0.03158841351192025,3
0.02,altdata_bnmeanrank_hmm,2014-02-01,SAA-CVaR,0.046486643239760816,3
0.02,altdata_bnmeanrank_hmm,2014-02-01,DR-CVaR,0.04769167544178882,3
0.02,altdata_bnmeanrank_hmm,2014-02-01,RS-CVaR,0.044179600258917186,3
0.02,altdata_bnmeanrank_hmm,2014-02-01,RSDR-CVaR,0.05117280213244961,3
0.02,altdata_bnmeanrank_hmm,2014-03-01,SAA-CVaR,0.011274422455335033,3
0.02,altdata_bnmeanrank_hmm,2014-03-01,DR-CVaR,0.00799168746020016,3
0.02,altdata_bnmeanrank_hmm,2014-03-01,RS-CVaR,0.018920380421316788,3
0.02,altdata_bnmeanrank_hmm,2014-03-01,RSDR-CVaR,0.008880609007946832,3
0.02,altdata_bnmeanrank_hmm,2014-04-01,SAA-CVaR,0.01740354513198319,3
0.02,altdata_bnmeanrank_hmm,2014-04-01,DR-CVaR,0.014284760768663276,3
0.02,altdata_bnmeanrank_hmm,2014-04-01,RS-CVaR,0.028214687082717363,3
0.02,altdata_bnmeanrank_hmm,2014-04-01,RSDR-CVaR,0.012857308470802882,3
0.02,altdata_bnmeanrank_hmm,2014-05-01,SAA-CVaR,0.01865637481102095,3
0.02,altdata_bnmeanrank_hmm,2014-05-01,DR-CVaR,0.020313611454031183,3
0.02,altdata_bnmeanrank_hmm,2014-05-01,RS-CVaR,0.013202312127665802,3
0.02,altdata_bnmeanrank_hmm,2014-05-01,RSDR-CVaR,0.020848383875142852,3
0.02,altdata_bnmeanrank_hmm,2014-06-01,SAA-CVaR,0.010653250605979814,3
0.02,altdata_bnmeanrank_hmm,2014-06-01,DR-CVaR,0.022485019189900722,3
0.02,altdata_bnmeanrank_hmm,2014-06-01,RS-CVaR,0.020390416314580377,3
0.02,altdata_bnmeanrank_hmm,2014-06-01,RSDR-CVaR,0.02211673178699987,3
0.02,altdata_bnmeanrank_hmm,2014-07-01,SAA-CVaR,-0.025042855407439796,3
0.02,altdata_bnmeanrank_hmm,2014-07-01,DR-CVaR,-0.022720513878068727,3
0.02,altdata_bnmeanrank_hmm,2014-07-01,RS-CVaR,-0.03472619728049415,3
0.02,altdata_bnmeanrank_hmm,2014-07-01,RSDR-CVaR,-0.02225759130294458,3
0.02,altdata_bnmeanrank_hmm,2014-08-01,SAA-CVaR,0.047257859848111254,3
0.02,altdata_bnmeanrank_hmm,2014-08-01,DR-CVaR,0.040621882147201666,3
0.02,altdata_bnmeanrank_hmm,2014-08-01,RS-CVaR,0.046798152292804616,3
0.02,altdata_bnmeanrank_hmm,2014-08-01,RSDR-CVaR,0.04048873505070098,3
0.02,altdata_bnmeanrank_hmm,2014-09-01,SAA-CVaR,0.005165982707038827,3
0.02,altdata_bnmeanrank_hmm,2014-09-01,DR-CVaR,-0.017225792129857212,3
0.02,altdata_bnmeanrank_hmm,2014-09-01,RS-CVaR,0.00297747823042297,3
0.02,altdata_bnmeanrank_hmm,2014-09-01,RSDR-CVaR,-0.016656026929650947,3
0.02,altdata_bnmeanrank_hmm,2014-10-01,SAA-CVaR,0.043845765624486305,3
0.02,altdata_bnmeanrank_hmm,2014-10-01,DR-CVaR,0.027611161163336652,3
0.02,altdata_bnmeanrank_hmm,2014-10-01,RS-CVaR,0.044785033849480176,3
0.02,altdata_bnmeanrank_hmm,2014-10-01,RSDR-CVaR,0.02352790639006989,3
0.02,altdata_bnmeanrank_hmm,2014-11-01,SAA-CVaR,0.04532929904329815,3
0.02,altdata_bnmeanrank_hmm,2014-11-01,DR-CVaR,0.022087648627446322,3
0.02,altdata_bnmeanrank_hmm,2014-11-01,RS-CVaR,0.044055609372555045,3
0.02,altdata_bnmeanrank_hmm,2014-11-01,RSDR-CVaR,0.02141544433100715,3
