gamma,regime_source,rebalance_month,strategy,success,objective,VaR_v,theta_used,robust_norm_value,robust_penalty_component,max_weight,effective_n_assets,predicted_state,predicted_state_prob,regime_weight_max,regime_weight_argmax,message,SPY,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY
0.06,altdata_bnmeanrank_hmm,2016-11-01,RSDR-CVaR,True,0.13969971487421443,0.050844900000000005,0.03856774004293276,0.10000000000000002,0.07713548008586546,0.10000000000000193,9.999999999999957,3,0.9977902486942809,0.9860945289742139,3,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.10000000000000002,0.10000000000000002,0.09999999999999994,0.10000000000000193,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.09999999999999983,0.10000000000000028,0.10000000000000002
0.06,altdata_bnmeanrank_hmm,2016-12-01,SAA-CVaR,True,0.07222332707529935,0.04703974430210485,0.0,1.0,0.0,0.6443128499623921,1.8462024813922433,3,0.9675857817928382,0.9597458591595125,3,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0,0.0,0.0,0.0,0.0,0.0,0.6443128499623921,0.35568715003760787,0.0,0.0
0.06,altdata_bnmeanrank_hmm,2016-12-01,DR-CVaR,True,0.1764253439504962,0.07577529999999996,0.03717347197524814,0.1,0.07434694395049621,0.1,10.0,3,0.9675857817928382,0.9597458591595125,3,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.1,0.1,0.09999999999999998,0.09999999999999998,0.09999999999999998,0.1,0.1,0.1,0.1,0.1
0.06,altdata_bnmeanrank_hmm,2016-12-01,RS-CVaR,True,0.04941302179651255,0.030345172876224166,0.0,1.0,0.0,0.5783540918454391,2.507800942448872,3,0.9675857817928382,0.9597458591595125,3,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0,0.0,0.03684038117183438,0.0,0.0,0.16381768184288703,0.5783540918454391,0.186818937540917,0.03416890759892249,0.0
0.06,altdata_bnmeanrank_hmm,2016-12-01,RSDR-CVaR,True,0.14575217005208532,0.050844900000000005,0.03870951431068298,0.1,0.0774190286213659,0.1,9.999999999999996,3,0.9675857817928382,0.9597458591595125,3,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
0.06,altdata_bnmeanrank_hmm,2017-01-01,SAA-CVaR,True,0.07222332707529935,0.04703974430210485,0.0,1.0,0.0,0.6443128499623921,1.8462024813922433,3,0.99926837044153,0.9876729476021717,3,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0,0.0,0.0,0.0,0.0,0.0,0.6443128499623921,0.35568715003760787,0.0,0.0
0.06,altdata_bnmeanrank_hmm,2017-01-01,DR-CVaR,True,0.1764253439504962,0.07577529999999996,0.03717347197524814,0.1,0.07434694395049621,0.1,9.999999999999996,3,0.99926837044153,0.9876729476021717,3,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.1,0.1,0.1,0.09999999999999998,0.1,0.1,0.1,0.1,0.1,0.1
0.06,altdata_bnmeanrank_hmm,2017-01-01,RS-CVaR,True,0.04450628681516392,0.02583676375296797,0.0,1.0,0.0,0.510533209766282,2.9347534527954013,3,0.99926837044153,0.9876729476021717,3,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0,0.0,0.0,0.0,0.0,0.16924587748078063,0.510533209766282,0.15049057857816758,0.16973033417476982,0.0
0.06,altdata_bnmeanrank_hmm,2017-01-01,RSDR-CVaR,True,0.1388831313373024,0.044871600000000005,0.03846852616134478,0.09999999999999995,0.07693705232268946,0.1000000000000026,9.999999999999984,3,0.99926837044153,0.9876729476021717,3,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.09999999999999995,0.09999999999999995,0.09999999999999995,0.09999999999999994,0.1000000000000026,0.09999999999999981,0.09999999999999984,0.09999999999999994,0.09999999999999983,0.09999999999999899
0.06,altdata_bnmeanrank_hmm,2017-02-01,SAA-CVaR,True,0.07222332707529935,0.04703974430210485,0.0,1.0,0.0,0.6443128499623921,1.8462024813922433,3,0.9996213175179618,0.988115860204754,3,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0,0.0,0.0,0.0,0.0,0.0,0.6443128499623921,0.35568715003760787,0.0,0.0
